xi,eta,w
6.3089014491502227e-02,6.3089014491502227e-02,2.5422453185103409e-02
6.3089014491502227e-02,8.7382197101699555e-01,2.5422453185103409e-02
8.7382197101699555e-01,6.3089014491502227e-02,2.5422453185103409e-02
2.4928674517091043e-01,2.4928674517091043e-01,5.8393137863189684e-02
2.4928674517091043e-01,5.0142650965817914e-01,5.8393137863189684e-02
5.0142650965817914e-01,2.4928674517091043e-01,5.8393137863189684e-02
5.3145049844816945e-02,3.1035245103378439e-01,4.1425537809186785e-02
6.3650249912139867e-01,5.3145049844816945e-02,4.1425537809186785e-02
3.1035245103378439e-01,6.3650249912139867e-01,4.1425537809186785e-02
3.1035245103378439e-01,5.3145049844816945e-02,4.1425537809186785e-02
6.3650249912139867e-01,3.1035245103378439e-01,4.1425537809186785e-02
5.3145049844816945e-02,6.3650249912139867e-01,4.1425537809186785e-02
