xi,eta,w
3.3333333333333331e-01,3.3333333333333331e-01,4.8567898141399418e-02
4.8968251919873762e-01,4.8968251919873762e-01,1.5667350113569536e-02
4.8968251919873762e-01,2.0634961602524760e-02,1.5667350113569536e-02
2.0634961602524760e-02,4.8968251919873762e-01,1.5667350113569536e-02
4.4729513394452712e-02,4.4729513394452712e-02,1.2788837829349016e-02
4.4729513394452712e-02,9.1054097321109462e-01,1.2788837829349016e-02
9.1054097321109462e-01,4.4729513394452712e-02,1.2788837829349016e-02
4.3708959149293664e-01,4.3708959149293664e-01,3.8913770502387139e-02
4.3708959149293664e-01,1.2582081701412673e-01,3.8913770502387139e-02
1.2582081701412673e-01,4.3708959149293664e-01,3.8913770502387139e-02
1.8820353561903272e-01,1.8820353561903272e-01,3.9823869463605124e-02
1.8820353561903272e-01,6.2359292876193462e-01,3.9823869463605124e-02
6.2359292876193462e-01,1.8820353561903272e-01,3.9823869463605124e-02
7.4119859878449801e-01,2.2196298916076571e-01,2.1641769688644688e-02
3.6838412054736286e-02,7.4119859878449801e-01,2.1641769688644688e-02
2.2196298916076571e-01,3.6838412054736286e-02,2.1641769688644688e-02
2.2196298916076571e-01,7.4119859878449801e-01,2.1641769688644688e-02
3.6838412054736286e-02,2.2196298916076571e-01,2.1641769688644688e-02
7.4119859878449801e-01,3.6838412054736286e-02,2.1641769688644688e-02
