xi,eta,w
2.1317350453210371e-02,2.1317350453210371e-02,3.0831305257795088e-03
2.1317350453210371e-02,9.5736529909357926e-01,3.0831305257795088e-03
9.5736529909357926e-01,2.1317350453210371e-02,3.0831305257795088e-03
2.7121038501211592e-01,2.7121038501211592e-01,3.1429112108942552e-02
2.7121038501211592e-01,4.5757922997576816e-01,3.1429112108942552e-02
4.5757922997576816e-01,2.7121038501211592e-01,3.1429112108942552e-02
1.2757614554158592e-01,1.2757614554158592e-01,1.7398056465354472e-02
1.2757614554158592e-01,7.4484770891682817e-01,1.7398056465354472e-02
7.4484770891682817e-01,1.2757614554158592e-01,1.7398056465354472e-02
4.3972439229446025e-01,4.3972439229446025e-01,2.1846272269019203e-02
4.3972439229446025e-01,1.2055121541107949e-01,2.1846272269019203e-02
1.2055121541107949e-01,4.3972439229446025e-01,2.1846272269019203e-02
4.8821738977380486e-01,4.8821738977380486e-01,1.2865533220227668e-02
4.8821738977380486e-01,2.3565220452390290e-02,1.2865533220227668e-02
2.3565220452390290e-02,4.8821738977380486e-01,1.2865533220227668e-02
6.9583608678780340e-01,2.8132558098993954e-01,1.1178386601151722e-02
2.2838332222257063e-02,6.9583608678780340e-01,1.1178386601151722e-02
2.8132558098993954e-01,2.2838332222257063e-02,1.1178386601151722e-02
2.8132558098993954e-01,6.9583608678780340e-01,1.1178386601151722e-02
2.2838332222257063e-02,2.8132558098993954e-01,1.1178386601151722e-02
6.9583608678780340e-01,2.2838332222257063e-02,1.1178386601151722e-02
8.5801403354407269e-01,1.1625191590759715e-01,8.6581155543294461e-03
2.5734050548330167e-02,8.5801403354407269e-01,8.6581155543294461e-03
1.1625191590759715e-01,2.5734050548330167e-02,8.6581155543294461e-03
1.1625191590759715e-01,8.5801403354407269e-01,8.6581155543294461e-03
2.5734050548330167e-02,1.1625191590759715e-01,8.6581155543294461e-03
8.5801403354407269e-01,2.5734050548330167e-02,8.6581155543294461e-03
6.0894323577978782e-01,2.7571326968551418e-01,2.0185778883190463e-02
1.1534349453469800e-01,6.0894323577978782e-01,2.0185778883190463e-02
2.7571326968551418e-01,1.1534349453469800e-01,2.0185778883190463e-02
2.7571326968551418e-01,6.0894323577978782e-01,2.0185778883190463e-02
1.1534349453469800e-01,2.7571326968551418e-01,2.0185778883190463e-02
6.0894323577978782e-01,1.1534349453469800e-01,2.0185778883190463e-02
